platform  genre              
PC        Action           39
          Adventure         8
          Fighting          2
          Misc              3
          Platform          1
          Racing           13
          Role-Playing     18
          Shooter          21
          Simulation       18
          Sports           11
          Strategy         17
PS4       Action          142
          Adventure        28
          Fighting         17
          Misc             19
          Platform          9
          Puzzle            1
          Racing           18
          Role-Playing     52
          Shooter          38
          Simulation        6
          Sports           42
          Strategy          5
WiiU      Action           35
          Adventure         3
          Fighting          2
          Misc             13
          Platform          7
          Puzzle            3
          Racing            1
          Role-Playing      4
          Shooter           3
          Sports            2
XOne      Action           81
          Adventure        14
          Fighting          5
          Misc             17
          Platform          4
          Racing           18
          Role-Playing     14
          Shooter          36
          Simulation        3
          Sports           34
          Strategy          2
